Year,Industry_aggregation_NZSIOC,Industry_code_NZSIOC,Industry_name_NZSIOC
2023,Level 1,99999,All industries
2023,Level 1,99999,All industries
2023,Level 1,99999,All industries
2023,Level 1,99999,All industries
2023,Level 1,99999,All industries
2023,Level 1,99999,All industries
2023,Level 1,99999,All industries
2023,Level 1,99999,All industries
2023,Level 1,99999,All industries
2023,Level 1,99999,All industries
2023,Level 1,99999,All industries
2023,Level 1,99999,All industries
2023,Level 1,99999,All industries
2023,Level 1,99999,All industries
2023,Level 1,99999,All industries
2023,Level 1,99999,All industries
2023,Level 1,99999,All industries
2023,Level 1,99999,All industries
2023,Level 1,99999,All industries
2023,Level 1,99999,All industries
2023,Level 1,99999,All industries
2023,Level 1,99999,All industries
2023,Level 1,99999,All industries
2023,Level 1,99999,All industries
2023,Level 1,99999,All industries
2023,Level 1,99999,All industries
2023,Level 1,99999,All industries
2023,Level 1,99999,All industries
2023,Level 1,99999,All industries
2023,Level 1,99999,All industries
2023,Level 1,99999,All industries
2023,Level 1,AA,"Agriculture
2023,Level 1,AA,"Agriculture
2023,Level 1,AA,"Agriculture
2023,Level 1,AA,"Agriculture
2023,Level 1,AA,"Agriculture
2023,Level 1,AA,"Agriculture
2023,Level 1,AA,"Agriculture
2023,Level 1,AA,"Agriculture
2023,Level 1,AA,"Agriculture
2023,Level 1,AA,"Agriculture
2023,Level 1,AA,"Agriculture
2023,Level 1,AA,"Agriculture
2023,Level 1,AA,"Agriculture
2023,Level 1,AA,"Agriculture
2023,Level 1,AA,"Agriculture
2023,Level 1,AA,"Agriculture
2023,Level 1,AA,"Agriculture
2023,Level 1,AA,"Agriculture
2023,Level 1,AA,"Agriculture
2023,Level 1,AA,"Agriculture
2023,Level 1,AA,"Agriculture
2023,Level 1,AA,"Agriculture
2023,Level 1,AA,"Agriculture
2023,Level 1,AA,"Agriculture
2023,Level 1,AA,"Agriculture
2023,Level 1,AA,"Agriculture
2023,Level 1,AA,"Agriculture
2023,Level 1,AA,"Agriculture
2023,Level 1,AA,"Agriculture
2023,Level 1,AA,"Agriculture
2023,Level 1,AA,"Agriculture
2023,Level 3,AA11,Horticulture and Fruit Growing
2023,Level 3,AA11,Horticulture and Fruit Growing
2023,Level 3,AA11,Horticulture and Fruit Growing
2023,Level 3,AA11,Horticulture and Fruit Growing
2023,Level 3,AA11,Horticulture and Fruit Growing
2023,Level 3,AA11,Horticulture and Fruit Growing
2023,Level 3,AA11,Horticulture and Fruit Growing
2023,Level 3,AA11,Horticulture and Fruit Growing
2023,Level 3,AA11,Horticulture and Fruit Growing
2023,Level 3,AA11,Horticulture and Fruit Growing
2023,Level 3,AA11,Horticulture and Fruit Growing
2023,Level 3,AA11,Horticulture and Fruit Growing
2023,Level 3,AA11,Horticulture and Fruit Growing
2023,Level 3,AA11,Horticulture and Fruit Growing
2023,Level 3,AA11,Horticulture and Fruit Growing
2023,Level 3,AA11,Horticulture and Fruit Growing
2023,Level 3,AA11,Horticulture and Fruit Growing
2023,Level 3,AA11,Horticulture and Fruit Growing
2023,Level 3,AA11,Horticulture and Fruit Growing
2023,Level 3,AA11,Horticulture and Fruit Growing
2023,Level 3,AA11,Horticulture and Fruit Growing
2023,Level 3,AA11,Horticulture and Fruit Growing
2023,Level 3,AA11,Horticulture and Fruit Growing
2023,Level 3,AA11,Horticulture and Fruit Growing
2023,Level 3,AA11,Horticulture and Fruit Growing
2023,Level 3,AA11,Horticulture and Fruit Growing
2023,Level 3,AA11,Horticulture and Fruit Growing
2023,Level 3,AA11,Horticulture and Fruit Growing
2023,Level 3,AA11,Horticulture and Fruit Growing
2023,Level 3,AA11,Horticulture and Fruit Growing
2023,Level 4,AA111,Horticulture and Fruit Growing
2023,Level 4,AA111,Horticulture and Fruit Growing
2023,Level 4,AA111,Horticulture and Fruit Growing
2023,Level 4,AA111,Horticulture and Fruit Growing
2023,Level 4,AA111,Horticulture and Fruit Growing
2023,Level 4,AA111,Horticulture and Fruit Growing
2023,Level 4,AA111,Horticulture and Fruit Growing
2023,Level 4,AA111,Horticulture and Fruit Growing
2023,Level 4,AA111,Horticulture and Fruit Growing
2023,Level 4,AA111,Horticulture and Fruit Growing
2023,Level 4,AA111,Horticulture and Fruit Growing
2023,Level 4,AA111,Horticulture and Fruit Growing
2023,Level 4,AA111,Horticulture and Fruit Growing
2023,Level 4,AA111,Horticulture and Fruit Growing
2023,Level 4,AA111,Horticulture and Fruit Growing
2023,Level 4,AA111,Horticulture and Fruit Growing
2023,Level 4,AA111,Horticulture and Fruit Growing
2023,Level 4,AA111,Horticulture and Fruit Growing
2023,Level 4,AA111,Horticulture and Fruit Growing
2023,Level 4,AA111,Horticulture and Fruit Growing
2023,Level 4,AA111,Horticulture and Fruit Growing
2023,Level 4,AA111,Horticulture and Fruit Growing
2023,Level 4,AA111,Horticulture and Fruit Growing
2023,Level 4,AA111,Horticulture and Fruit Growing
2023,Level 4,AA111,Horticulture and Fruit Growing
2023,Level 4,AA111,Horticulture and Fruit Growing
2023,Level 4,AA111,Horticulture and Fruit Growing
2023,Level 4,AA111,Horticulture and Fruit Growing
2023,Level 4,AA111,Horticulture and Fruit Growing
2023,Level 4,AA111,Horticulture and Fruit Growing
2023,Level 3,AA12,"Sheep
2023,Level 3,AA12,"Sheep
2023,Level 3,AA12,"Sheep
2023,Level 3,AA12,"Sheep
2023,Level 3,AA12,"Sheep
2023,Level 3,AA12,"Sheep
2023,Level 3,AA12,"Sheep
2023,Level 3,AA12,"Sheep
2023,Level 3,AA12,"Sheep
2023,Level 3,AA12,"Sheep
2023,Level 3,AA12,"Sheep
2023,Level 3,AA12,"Sheep
2023,Level 3,AA12,"Sheep
2023,Level 3,AA12,"Sheep
2023,Level 3,AA12,"Sheep
2023,Level 3,AA12,"Sheep
2023,Level 3,AA12,"Sheep
2023,Level 3,AA12,"Sheep
2023,Level 3,AA12,"Sheep
2023,Level 3,AA12,"Sheep
2023,Level 3,AA12,"Sheep
2023,Level 3,AA12,"Sheep
2023,Level 3,AA12,"Sheep
2023,Level 3,AA12,"Sheep
2023,Level 3,AA12,"Sheep
2023,Level 3,AA12,"Sheep
2023,Level 3,AA12,"Sheep
2023,Level 3,AA12,"Sheep
2023,Level 3,AA12,"Sheep
2023,Level 3,AA12,"Sheep
2023,Level 4,AA121,"Sheep
2023,Level 4,AA121,"Sheep
2023,Level 4,AA121,"Sheep
2023,Level 4,AA121,"Sheep
2023,Level 4,AA121,"Sheep
